Top result for (M, N) = (5120, 3072) : ((32, 8, 64), 43.161602)
Top result for (M, N) = (5120, 3584) : ((32, 8, 64), 49.223679)
Top result for (M, N) = (5120, 4096) : ((32, 8, 128), 54.661121)
Top result for (M, N) = (5120, 4608) : ((32, 8, 64), 60.774399)
Top result for (M, N) = (5120, 5120) : ((32, 8, 512), 67.87072)
Top result for (M, N) = (5120, 5632) : ((32, 8, 64), 73.021439)
Top result for (M, N) = (5120, 6144) : ((32, 8, 64), 78.848)
Top result for (M, N) = (5120, 6656) : ((32, 8, 64), 84.62336)
Top result for (M, N) = (5120, 7168) : ((32, 8, 64), 90.705917)
Top result for (M, N) = (5120, 7680) : ((32, 8, 64), 96.747528)
Top result for (M, N) = (5120, 8192) : ((32, 8, 64), 102.502403)
Top result for (M, N) = (5632, 512) : ((16, 8, 64), 8.529921)
Top result for (M, N) = (5632, 1024) : ((16, 8, 128), 11.8272)
Top result for (M, N) = (5632, 1536) : ((32, 8, 64), 20.2752)
Top result for (M, N) = (5632, 2048) : ((16, 8, 192), 32.737278)
Top result for (M, N) = (5632, 2560) : ((32, 8, 192), 41.431038)
Top result for (M, N) = (5632, 3072) : ((32, 8, 64), 46.039036)
Top result for (M, N) = (5632, 3584) : ((32, 8, 64), 53.534725)
Top result for (M, N) = (5632, 4096) : ((32, 8, 64), 59.729919)
Top result for (M, N) = (5632, 4608) : ((32, 8, 64), 66.19136)
Top result for (M, N) = (5632, 5120) : ((32, 8, 64), 73.727997)
Top result for (M, N) = (5632, 5632) : ((32, 8, 64), 79.59552)
Top result for (M, N) = (5632, 6144) : ((32, 8, 64), 86.00576)
Top result for (M, N) = (5632, 6656) : ((32, 8, 64), 92.354568)
Top result for (M, N) = (5632, 7168) : ((32, 8, 64), 98.7136)
Top result for (M, N) = (5632, 7680) : ((32, 8, 64), 105.410553)
Top result for (M, N) = (5632, 8192) : ((32, 8, 64), 112.097282)
Top result for (M, N) = (6144, 512) : ((16, 8, 64), 8.45824)
Top result for (M, N) = (6144, 1024) : ((16, 8, 64), 12.55424)
Top result for (M, N) = (6144, 1536) : ((32, 8, 64), 26.64448)
Top result for (M, N) = (6144, 2048) : ((16, 8, 192), 35.389439)
Top result for (M, N) = (6144, 2560) : ((32, 8, 128), 44.53376)
Top result for (M, N) = (6144, 3072) : ((32, 16, 384), 52.961277)
Top result for (M, N) = (6144, 3584) : ((32, 8, 64), 57.477119)
Top result for (M, N) = (6144, 4096) : ((32, 8, 64), 64.34816)
Top result for (M, N) = (6144, 4608) : ((32, 8, 64), 71.434235)
Top result for (M, N) = (6144, 5120) : ((32, 8, 192), 79.257599)
Top result for (M, N) = (6144, 5632) : ((32, 16, 128), 86.691833)
Top result for (M, N) = (6144, 6144) : ((32, 8, 64), 92.948479)
Top result for (M, N) = (6144, 6656) : ((32, 8, 704), 101.611519)
Top result for (M, N) = (6144, 7168) : ((32, 16, 128), 111.513596)
Top result for (M, N) = (6144, 7680) : ((32, 16, 64), 116.060158)
Top result for (M, N) = (6144, 8192) : ((32, 8, 128), 123.863045)
Top result for (M, N) = (6656, 512) : ((16, 8, 64), 8.81664)
Top result for (M, N) = (6656, 1024) : ((16, 8, 64), 13.793281)
Top result for (M, N) = (6656, 1536) : ((32, 8, 64), 29.798399)
Top result for (M, N) = (6656, 2048) : ((16, 8, 256), 38.389759)
Top result for (M, N) = (6656, 2560) : ((32, 8, 64), 47.175678)
Top result for (M, N) = (6656, 3072) : ((32, 8, 64), 53.780479)
Top result for (M, N) = (6656, 3584) : ((32, 8, 64), 61.911037)
Top result for (M, N) = (6656, 4096) : ((32, 8, 192), 69.836792)
Top result for (M, N) = (6656, 4608) : ((32, 8, 64), 76.99456)
Top result for (M, N) = (6656, 5120) : ((32, 8, 704), 87.040009)
Top result for (M, N) = (6656, 5632) : ((32, 8, 64), 93.040634)
Top result for (M, N) = (6656, 6144) : ((32, 8, 768), 101.990402)
Top result for (M, N) = (6656, 6656) : ((32, 8, 64), 107.601921)
Top result for (M, N) = (6656, 7168) : ((32, 8, 64), 115.271683)
Top result for (M, N) = (6656, 7680) : ((32, 8, 448), 156.907516)
Top result for (M, N) = (6656, 8192) : ((32, 8, 64), 131.010559)
Top result for (M, N) = (7168, 512) : ((16, 8, 64), 9.113601)
Top result for (M, N) = (7168, 1024) : ((16, 8, 128), 15.39072)
Top result for (M, N) = (7168, 1536) : ((16, 8, 192), 31.959042)
Top result for (M, N) = (7168, 2048) : ((16, 8, 64), 40.37632)
Top result for (M, N) = (7168, 2560) : ((32, 8, 192), 50.51392)
Top result for (M, N) = (7168, 3072) : ((32, 8, 64), 57.323521)
Top result for (M, N) = (7168, 3584) : ((32, 8, 64), 66.007042)
Top result for (M, N) = (7168, 4096) : ((32, 8, 64), 73.635841)
Top result for (M, N) = (7168, 4608) : ((32, 16, 192), 85.217278)
Top result for (M, N) = (7168, 5120) : ((32, 8, 128), 92.221436)
Top result for (M, N) = (7168, 5632) : ((32, 16, 64), 101.058556)
Top result for (M, N) = (7168, 6144) : ((32, 8, 832), 130.283524)
Top result for (M, N) = (7168, 6656) : ((32, 8, 64), 115.374084)
Top result for (M, N) = (7168, 7168) : ((32, 8, 128), 125.818878)
Top result for (M, N) = (7168, 7680) : ((32, 8, 64), 132.61824)
Top result for (M, N) = (7168, 8192) : ((32, 8, 64), 141.158401)
Top result for (M, N) = (7680, 512) : ((16, 8, 64), 9.410561)
Top result for (M, N) = (7680, 1024) : ((32, 8, 64), 16.977921)
Top result for (M, N) = (7680, 1536) : ((16, 8, 192), 34.007038)
Top result for (M, N) = (7680, 2048) : ((16, 8, 256), 42.864643)
Top result for (M, N) = (7680, 2560) : ((32, 8, 192), 52.940796)
Top result for (M, N) = (7680, 3072) : ((32, 8, 64), 60.99968)
Top result for (M, N) = (7680, 3584) : ((32, 8, 64), 70.01088)
Top result for (M, N) = (7680, 4096) : ((32, 8, 192), 79.319038)
Top result for (M, N) = (7680, 4608) : ((32, 8, 64), 87.8592)
Top result for (M, N) = (7680, 5120) : ((32, 8, 64), 97.853447)
Top result for (M, N) = (7680, 5632) : ((32, 8, 128), 106.250244)
Top result for (M, N) = (7680, 6144) : ((32, 8, 192), 115.947525)
Top result for (M, N) = (7680, 6656) : ((32, 8, 64), 123.176956)
Top result for (M, N) = (7680, 7168) : ((32, 16, 64), 134.492157)
Top result for (M, N) = (7680, 7680) : ((32, 8, 64), 141.373444)
Top result for (M, N) = (7680, 8192) : ((32, 8, 64), 149.995514)
Top result for (M, N) = (8192, 512) : ((16, 8, 64), 9.728001)
Top result for (M, N) = (8192, 1024) : ((32, 8, 64), 18.65728)
Top result for (M, N) = (8192, 1536) : ((16, 8, 192), 35.481602)
Top result for (M, N) = (8192, 2048) : ((32, 8, 64), 45.434879)
Top result for (M, N) = (8192, 2560) : ((32, 8, 128), 55.930882)
Top result for (M, N) = (8192, 3072) : ((32, 8, 64), 64.337921)
Top result for (M, N) = (8192, 3584) : ((32, 8, 64), 74.383354)
Top result for (M, N) = (8192, 4096) : ((32, 8, 64), 83.128319)
Top result for (M, N) = (8192, 4608) : ((32, 8, 64), 92.76416)
Top result for (M, N) = (8192, 5120) : ((32, 16, 256), 104.48896)
Top result for (M, N) = (8192, 5632) : ((16, 8, 64), 122.603523)
Top result for (M, N) = (8192, 6144) : ((32, 8, 64), 121.845757)
Top result for (M, N) = (8192, 6656) : ((32, 8, 64), 134.062088)
Top result for (M, N) = (8192, 7168) : ((32, 8, 64), 140.400635)
Top result for (M, N) = (8192, 7680) : ((32, 8, 128), 152.25856)
Top result for (M, N) = (8192, 8192) : ((32, 8, 128), 161.720322)
Best candidates for schedule 2:
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=64: Count=192
BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=64: Count=177
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=128: Count=144
BLOCK_X=32, BLOCK_Y=16, TILE_SIZE=64: Count=131
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=192: Count=121
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=256: Count=116
BLOCK_X=32, BLOCK_Y=16, TILE_SIZE=128: Count=114
BLOCK_X=16, BLOCK_Y=16, TILE_SIZE=64: Count=102
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=320: Count=101
BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=128: Count=89
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=384: Count=83
BLOCK_X=32, BLOCK_Y=16, TILE_SIZE=192: Count=81
BLOCK_X=32, BLOCK_Y=32, TILE_SIZE=64: Count=73
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=448: Count=68
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=512: Count=60
BLOCK_X=32, BLOCK_Y=32, TILE_SIZE=128: Count=57
BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=256: Count=56
BLOCK_X=32, BLOCK_Y=16, TILE_SIZE=256: Count=56
BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=192: Count=51
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=576: Count=47
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=640: Count=44
BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=320: Count=43
BLOCK_X=32, BLOCK_Y=16, TILE_SIZE=320: Count=41
BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=384: Count=37
BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=448: Count=36
BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=512: Count=32
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=704: Count=30
BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=576: Count=26
BLOCK_X=16, BLOCK_Y=16, TILE_SIZE=128: Count=25
BLOCK_X=16, BLOCK_Y=16, TILE_SIZE=192: Count=25
BLOCK_X=32, BLOCK_Y=16, TILE_SIZE=384: Count=25
BLOCK_X=16, BLOCK_Y=32, TILE_SIZE=64: Count=24
BLOCK_X=16, BLOCK_Y=16, TILE_SIZE=256: Count=20
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=768: Count=20
BLOCK_X=32, BLOCK_Y=8, TILE_SIZE=832: Count=19
BLOCK_X=16, BLOCK_Y=8, TILE_SIZE=640: Count=14
BLOCK_X=32, BLOCK_Y=32, TILE_SIZE=192: Count=14
BLOCK_X=8, BLOCK_Y=16, TILE_SIZE=64: Count=13
BLOCK_X=32, BLOCK_Y=16, TILE_SIZE=448: Count=13
BLOCK_X=16, BLOCK_Y=16, TILE_SIZE=320: Count=12
